"","year","period","periodName","unemployed","labor.force","unemployment.rate","date","location","employed"
"1","2020","M01","January",12932,283341,0.0456411179462203,2020-01-01,"Albuquerque, NM",270409
"2","2020","M02","February",12709,284831,0.0446194410018572,2020-02-01,"Albuquerque, NM",272122
"3","2020","M03","March",13723,281653,0.048723074137325,2020-03-01,"Albuquerque, NM",267930
"4","2020","M04","April",28992,268398,0.10801868866385,2020-04-01,"Albuquerque, NM",239406
"5","2020","M05","May",28594,268074,0.106664577691235,2020-05-01,"Albuquerque, NM",239480
"6","2020","M06","June",27489,271195,0.101362488246465,2020-06-01,"Albuquerque, NM",243706
"7","2020","M07","July",36795,280503,0.131175067646335,2020-07-01,"Albuquerque, NM",243708
"8","2020","M08","August",24743,272827,0.0906911705952857,2020-08-01,"Albuquerque, NM",248084
"9","2020","M09","September",23902,286337,0.0834750660934493,2020-09-01,"Albuquerque, NM",262435
"10","2020","M10","October",21708,282257,0.0769086329125584,2020-10-01,"Albuquerque, NM",260549
"11","2020","M11","November",21668,282253,0.0767680060087935,2020-11-01,"Albuquerque, NM",260585
"12","2020","M12","December",23046,283911,0.0811733254435369,2020-12-01,"Albuquerque, NM",260865
"13","2021","M01","January",24161,281588,0.0858026620452576,2021-01-01,"Albuquerque, NM",257427
"14","2021","M02","February",21741,282279,0.0770195444932142,2021-02-01,"Albuquerque, NM",260538
"15","2021","M03","March",20432,279407,0.0731262996274252,2021-03-01,"Albuquerque, NM",258975
"16","2021","M04","April",19770,280333,0.0705232705389662,2021-04-01,"Albuquerque, NM",260563
"17","2021","M05","May",19268,277822,0.0693537588815861,2021-05-01,"Albuquerque, NM",258554
"18","2021","M06","June",22187,279735,0.0793143510822743,2021-06-01,"Albuquerque, NM",257548
"19","2021","M07","July",20492,280619,0.0730242784700965,2021-07-01,"Albuquerque, NM",260127
"20","2021","M08","August",16597,279689,0.0593409107973499,2021-08-01,"Albuquerque, NM",263092
"21","2021","M09","September",15085,277019,0.0544547485912519,2021-09-01,"Albuquerque, NM",261934
"22","2021","M10","October",13862,280263,0.04946068514217,2021-10-01,"Albuquerque, NM",266401
"23","2021","M11","November",13820,283479,0.048751406629768,2021-11-01,"Albuquerque, NM",269659
"24","2021","M12","December",12501,282488,0.0442532072158817,2021-12-01,"Albuquerque, NM",269987
"25","2020","M01","January",6307,150045,0.0420340564497317,2020-01-01,"Anchorage Borough, AK",143738
"26","2020","M02","February",5901,148989,0.0396069508487204,2020-02-01,"Anchorage Borough, AK",143088
"27","2020","M03","March",7470,148587,0.0502735770962466,2020-03-01,"Anchorage Borough, AK",141117
"28","2020","M04","April",18157,146093,0.12428384659087,2020-04-01,"Anchorage Borough, AK",127936
"29","2020","M05","May",17307,148097,0.116862596811549,2020-05-01,"Anchorage Borough, AK",130790
"30","2020","M06","June",16111,148057,0.108816199166537,2020-06-01,"Anchorage Borough, AK",131946
"31","2020","M07","July",14809,148495,0.0997272635442271,2020-07-01,"Anchorage Borough, AK",133686
"32","2020","M08","August",9025,142607,0.0632858134593673,2020-08-01,"Anchorage Borough, AK",133582
"33","2020","M09","September",9352,142512,0.0656225440664646,2020-09-01,"Anchorage Borough, AK",133160
"34","2020","M10","October",8815,152130,0.0579438638006968,2020-10-01,"Anchorage Borough, AK",143315
"35","2020","M11","November",9033,152637,0.0591796222410032,2020-11-01,"Anchorage Borough, AK",143604
"36","2020","M12","December",9364,152457,0.0614205972831684,2020-12-01,"Anchorage Borough, AK",143093
"37","2021","M01","January",9452,149486,0.0632300014717097,2021-01-01,"Anchorage Borough, AK",140034
"38","2021","M02","February",9704,148636,0.0652870098764768,2021-02-01,"Anchorage Borough, AK",138932
"39","2021","M03","March",10012,147944,0.0676742551235603,2021-03-01,"Anchorage Borough, AK",137932
"40","2021","M04","April",9645,149473,0.0645267038194189,2021-04-01,"Anchorage Borough, AK",139828
"41","2021","M05","May",8866,150100,0.0590672884743504,2021-05-01,"Anchorage Borough, AK",141234
"42","2021","M06","June",9055,148916,0.0608060920250342,2021-06-01,"Anchorage Borough, AK",139861
"43","2021","M07","July",8245,147816,0.0557788060832386,2021-07-01,"Anchorage Borough, AK",139571
"44","2021","M08","August",7004,146529,0.0477994117205468,2021-08-01,"Anchorage Borough, AK",139525
"45","2021","M09","September",7160,146976,0.0487154365338559,2021-09-01,"Anchorage Borough, AK",139816
"46","2021","M10","October",7007,148915,0.0470536883457006,2021-10-01,"Anchorage Borough, AK",141908
"47","2021","M11","November",7137,151633,0.0470675908278541,2021-11-01,"Anchorage Borough, AK",144496
"48","2021","M12","December",6722,152303,0.0441357031706532,2021-12-01,"Anchorage Borough, AK",145581
"49","2020","M01","January",6307,150045,0.0420340564497317,2020-01-01,"Anchorage, AK",143738
"50","2020","M02","February",5901,148989,0.0396069508487204,2020-02-01,"Anchorage, AK",143088
"51","2020","M03","March",7470,148587,0.0502735770962466,2020-03-01,"Anchorage, AK",141117
"52","2020","M04","April",18157,146093,0.12428384659087,2020-04-01,"Anchorage, AK",127936
"53","2020","M05","May",17307,148097,0.116862596811549,2020-05-01,"Anchorage, AK",130790
"54","2020","M06","June",16111,148057,0.108816199166537,2020-06-01,"Anchorage, AK",131946
"55","2020","M07","July",14809,148495,0.0997272635442271,2020-07-01,"Anchorage, AK",133686
"56","2020","M08","August",9025,142607,0.0632858134593673,2020-08-01,"Anchorage, AK",133582
"57","2020","M09","September",9352,142512,0.0656225440664646,2020-09-01,"Anchorage, AK",133160
"58","2020","M10","October",8815,152130,0.0579438638006968,2020-10-01,"Anchorage, AK",143315
"59","2020","M11","November",9033,152637,0.0591796222410032,2020-11-01,"Anchorage, AK",143604
"60","2020","M12","December",9364,152457,0.0614205972831684,2020-12-01,"Anchorage, AK",143093
"61","2021","M01","January",9452,149486,0.0632300014717097,2021-01-01,"Anchorage, AK",140034
"62","2021","M02","February",9704,148636,0.0652870098764768,2021-02-01,"Anchorage, AK",138932
"63","2021","M03","March",10012,147944,0.0676742551235603,2021-03-01,"Anchorage, AK",137932
"64","2021","M04","April",9645,149473,0.0645267038194189,2021-04-01,"Anchorage, AK",139828
"65","2021","M05","May",8866,150100,0.0590672884743504,2021-05-01,"Anchorage, AK",141234
"66","2021","M06","June",9055,148916,0.0608060920250342,2021-06-01,"Anchorage, AK",139861
"67","2021","M07","July",8245,147816,0.0557788060832386,2021-07-01,"Anchorage, AK",139571
"68","2021","M08","August",7004,146529,0.0477994117205468,2021-08-01,"Anchorage, AK",139525
"69","2021","M09","September",7160,146976,0.0487154365338559,2021-09-01,"Anchorage, AK",139816
"70","2021","M10","October",7007,148915,0.0470536883457006,2021-10-01,"Anchorage, AK",141908
"71","2021","M11","November",7137,151633,0.0470675908278541,2021-11-01,"Anchorage, AK",144496
"72","2021","M12","December",6722,152303,0.0441357031706532,2021-12-01,"Anchorage, AK",145581
"73","2020","M01","January",9755,321859,0.0303083027039791,2020-01-01,"Anne Arundel County, MD",312104
"74","2020","M02","February",9530,322714,0.0295307919705994,2020-02-01,"Anne Arundel County, MD",313184
"75","2020","M03","March",10407,321896,0.0323303178666402,2020-03-01,"Anne Arundel County, MD",311489
"76","2020","M04","April",26241,304726,0.0861134264880581,2020-04-01,"Anne Arundel County, MD",278485
"77","2020","M05","May",26375,306455,0.0860648382307353,2020-05-01,"Anne Arundel County, MD",280080
"78","2020","M06","June",24306,319052,0.0761819389942705,2020-06-01,"Anne Arundel County, MD",294746
"79","2020","M07","July",23448,310437,0.0755322335932895,2020-07-01,"Anne Arundel County, MD",286989
"80","2020","M08","August",21878,308147,0.0709985818456775,2020-08-01,"Anne Arundel County, MD",286269
"81","2020","M09","September",16634,293081,0.056755640932029,2020-09-01,"Anne Arundel County, MD",276447
"82","2020","M10","October",15902,304571,0.0522111428862236,2020-10-01,"Anne Arundel County, MD",288669
"83","2020","M11","November",16293,306463,0.0531646560922526,2020-11-01,"Anne Arundel County, MD",290170
"84","2020","M12","December",16482,305553,0.0539415420565336,2020-12-01,"Anne Arundel County, MD",289071
"85","2021","M01","January",15852,302302,0.052437628596569,2021-01-01,"Anne Arundel County, MD",286450
"86","2021","M02","February",15415,302558,0.0509489089695199,2021-02-01,"Anne Arundel County, MD",287143
"87","2021","M03","March",15073,305037,0.0494136776850021,2021-03-01,"Anne Arundel County, MD",289964
"88","2021","M04","April",14379,305357,0.0470891448370268,2021-04-01,"Anne Arundel County, MD",290978
"89","2021","M05","May",14732,306128,0.0481236606909528,2021-05-01,"Anne Arundel County, MD",291396
"90","2021","M06","June",17393,310569,0.0560036578022919,2021-06-01,"Anne Arundel County, MD",293176
"91","2021","M07","July",14783,313153,0.0472069563440235,2021-07-01,"Anne Arundel County, MD",298370
"92","2021","M08","August",14660,309385,0.0473843269712494,2021-08-01,"Anne Arundel County, MD",294725
"93","2021","M09","September",13681,306669,0.0446116170855222,2021-09-01,"Anne Arundel County, MD",292988
"94","2021","M10","October",12823,307588,0.0416888825311781,2021-10-01,"Anne Arundel County, MD",294765
"95","2021","M11","November",11841,308397,0.0383953151295246,2021-11-01,"Anne Arundel County, MD",296556
"96","2021","M12","December",10161,307332,0.0330619655616727,2021-12-01,"Anne Arundel County, MD",297171
"97","2020","M01","January",10228,367609,0.0278230402411258,2020-01-01,"Arapahoe County, CO",357381
"98","2020","M02","February",10145,368989,0.0274940445379131,2020-02-01,"Arapahoe County, CO",358844
"99","2020","M03","March",17449,360457,0.0484079931864272,2020-03-01,"Arapahoe County, CO",343008
"100","2020","M04","April",43653,348344,0.125315779803872,2020-04-01,"Arapahoe County, CO",304691
"101","2020","M05","May",45861,364169,0.125933289214623,2020-05-01,"Arapahoe County, CO",318308
"102","2020","M06","June",46245,374676,0.123426640617494,2020-06-01,"Arapahoe County, CO",328431
"103","2020","M07","July",30823,363263,0.0848503701175182,2020-07-01,"Arapahoe County, CO",332440
"104","2020","M08","August",29787,368688,0.0807918890769431,2020-08-01,"Arapahoe County, CO",338901
"105","2020","M09","September",28887,371107,0.0778400838572164,2020-09-01,"Arapahoe County, CO",342220
"106","2020","M10","October",27826,369836,0.0752387544749565,2020-10-01,"Arapahoe County, CO",342010
"107","2020","M11","November",27803,373862,0.0743670124270453,2020-11-01,"Arapahoe County, CO",346059
"108","2020","M12","December",27196,370217,0.0734596196284882,2020-12-01,"Arapahoe County, CO",343021
"109","2021","M01","January",26670,370610,0.0719624403011252,2021-01-01,"Arapahoe County, CO",343940
"110","2021","M02","February",25799,372685,0.0692246803600896,2021-02-01,"Arapahoe County, CO",346886
"111","2021","M03","March",25335,369987,0.0684753788646628,2021-03-01,"Arapahoe County, CO",344652
"112","2021","M04","April",25001,374491,0.0667599488372217,2021-04-01,"Arapahoe County, CO",349490
"113","2021","M05","May",23312,374294,0.0622825906907404,2021-05-01,"Arapahoe County, CO",350982
"114","2021","M06","June",24953,376495,0.0662771085937396,2021-06-01,"Arapahoe County, CO",351542
"115","2021","M07","July",24329,375682,0.0647595572851507,2021-07-01,"Arapahoe County, CO",351353
"116","2021","M08","August",21783,375952,0.0579409073498744,2021-08-01,"Arapahoe County, CO",354169
"117","2021","M09","September",19774,379525,0.0521019695672222,2021-09-01,"Arapahoe County, CO",359751
"118","2021","M10","October",18551,378579,0.0490016614762044,2021-10-01,"Arapahoe County, CO",360028
"119","2021","M11","November",18008,379817,0.0474123064528444,2021-11-01,"Arapahoe County, CO",361809
"120","2021","M12","December",16943,378546,0.0447581007328039,2021-12-01,"Arapahoe County, CO",361603
"121","2020","M01","January",7109,214165,0.0331940326383863,2020-01-01,"Arlington, TX",207056
"122","2020","M02","February",6845,215395,0.0317788249495114,2020-02-01,"Arlington, TX",208550
"123","2020","M03","March",9582,210528,0.0455141358869129,2020-03-01,"Arlington, TX",200946
"124","2020","M04","April",29249,204798,0.142818777527124,2020-04-01,"Arlington, TX",175549
"125","2020","M05","May",27433,208425,0.131620486985726,2020-05-01,"Arlington, TX",180992
"126","2020","M06","June",23584,215840,0.109266123054114,2020-06-01,"Arlington, TX",192256
"127","2020","M07","July",20668,214200,0.0964892623716153,2020-07-01,"Arlington, TX",193532
"128","2020","M08","August",14632,214555,0.0681969658129617,2020-08-01,"Arlington, TX",199923
"129","2020","M09","September",16356,212894,0.0768269655321428,2020-09-01,"Arlington, TX",196538
"130","2020","M10","October",14095,217021,0.0649476317960013,2020-10-01,"Arlington, TX",202926
"131","2020","M11","November",14054,215704,0.0651541000630494,2020-11-01,"Arlington, TX",201650
"132","2020","M12","December",13776,217239,0.0634140278679243,2020-12-01,"Arlington, TX",203463
"133","2021","M01","January",15034,214932,0.0699477043902257,2021-01-01,"Arlington, TX",199898
"134","2021","M02","February",15549,213275,0.0729058726995663,2021-02-01,"Arlington, TX",197726
"135","2021","M03","March",15002,214240,0.0700242718446602,2021-03-01,"Arlington, TX",199238
"136","2021","M04","April",13339,214007,0.0623297368777657,2021-04-01,"Arlington, TX",200668
"137","2021","M05","May",12184,214050,0.0569212800747489,2021-05-01,"Arlington, TX",201866
"138","2021","M06","June",13322,214298,0.062165769162568,2021-06-01,"Arlington, TX",200976
"139","2021","M07","July",11858,214572,0.0552635012956024,2021-07-01,"Arlington, TX",202714
"140","2021","M08","August",10631,215460,0.04934094495498,2021-08-01,"Arlington, TX",204829
"141","2021","M09","September",9857,217778,0.0452616885084811,2021-09-01,"Arlington, TX",207921
"142","2021","M10","October",9501,219361,0.0433121657906374,2021-10-01,"Arlington, TX",209860
"143","2021","M11","November",8939,221942,0.040276288399672,2021-11-01,"Arlington, TX",213003
"144","2021","M12","December",8321,221970,0.0374870477992522,2021-12-01,"Arlington, TX",213649
"145","2020","M01","January",10193,267492,0.0381058125102807,2020-01-01,"Atlanta, GA",257299
"146","2020","M02","February",9957,269066,0.0370057904008682,2020-02-01,"Atlanta, GA",259109
"147","2020","M03","March",12335,268709,0.0459046775508078,2020-03-01,"Atlanta, GA",256374
"148","2020","M04","April",34326,255298,0.134454637325792,2020-04-01,"Atlanta, GA",220972
"149","2020","M05","May",32279,262844,0.122806683812451,2020-05-01,"Atlanta, GA",230565
"150","2020","M06","June",31599,263566,0.119890274162828,2020-06-01,"Atlanta, GA",231967
"151","2020","M07","July",29799,263144,0.113242179187061,2020-07-01,"Atlanta, GA",233345
"152","2020","M08","August",24587,257984,0.0953043599603076,2020-08-01,"Atlanta, GA",233397
"153","2020","M09","September",23871,258837,0.0922240637930435,2020-09-01,"Atlanta, GA",234966
"154","2020","M10","October",20081,266051,0.0754780098552533,2020-10-01,"Atlanta, GA",245970
"155","2020","M11","November",18814,265874,0.0707628425494783,2020-11-01,"Atlanta, GA",247060
"156","2020","M12","December",20006,267337,0.074834385064544,2020-12-01,"Atlanta, GA",247331
"157","2021","M01","January",16726,263255,0.0635353554538375,2021-01-01,"Atlanta, GA",246529
"158","2021","M02","February",15509,266183,0.0582644271046611,2021-02-01,"Atlanta, GA",250674
"159","2021","M03","March",14243,267038,0.053336978257776,2021-03-01,"Atlanta, GA",252795
"160","2021","M04","April",13957,267981,0.0520820505931391,2021-04-01,"Atlanta, GA",254024
"161","2021","M05","May",14160,266915,0.0530505966318866,2021-05-01,"Atlanta, GA",252755
"162","2021","M06","June",16109,269664,0.0597373027174558,2021-06-01,"Atlanta, GA",253555
"163","2021","M07","July",11300,268111,0.0421467228125664,2021-07-01,"Atlanta, GA",256811
"164","2021","M08","August",10843,265839,0.0407878452747716,2021-08-01,"Atlanta, GA",254996
"165","2021","M09","September",8624,266232,0.032392800264431,2021-09-01,"Atlanta, GA",257608
"166","2021","M10","October",8193,267324,0.0306482021816223,2021-10-01,"Atlanta, GA",259131
"167","2021","M11","November",6924,268034,0.0258325436325242,2021-11-01,"Atlanta, GA",261110
"168","2021","M12","December",7649,269277,0.0284056937651563,2021-12-01,"Atlanta, GA",261628
"169","2020","M01","January",7630,120865,0.0631282836222231,2020-01-01,"Atlantic County, NJ",113235
"170","2020","M02","February",7305,122716,0.0595276899507807,2020-02-01,"Atlantic County, NJ",115411
"171","2020","M03","March",7640,122921,0.0621537410206555,2020-03-01,"Atlantic County, NJ",115281
"172","2020","M04","April",42215,122834,0.343675203933764,2020-04-01,"Atlantic County, NJ",80619
"173","2020","M05","May",43455,120815,0.35968215867235,2020-05-01,"Atlantic County, NJ",77360
"174","2020","M06","June",42624,123246,0.345844895574704,2020-06-01,"Atlantic County, NJ",80622
"175","2020","M07","July",29690,128333,0.231351250262988,2020-07-01,"Atlantic County, NJ",98643
"176","2020","M08","August",21366,123046,0.173642377647384,2020-08-01,"Atlantic County, NJ",101680
"177","2020","M09","September",13586,116607,0.11651101563371,2020-09-01,"Atlantic County, NJ",103021
"178","2020","M10","October",12345,115921,0.106494940519837,2020-10-01,"Atlantic County, NJ",103576
"179","2020","M11","November",17098,120334,0.142087855468945,2020-11-01,"Atlantic County, NJ",103236
"180","2020","M12","December",12935,114806,0.112668327439332,2020-12-01,"Atlantic County, NJ",101871
"181","2021","M01","January",14446,115264,0.125329677956691,2021-01-01,"Atlantic County, NJ",100818
"182","2021","M02","February",14502,116577,0.124398466249775,2021-02-01,"Atlantic County, NJ",102075
"183","2021","M03","March",13611,117055,0.116278672418948,2021-03-01,"Atlantic County, NJ",103444
"184","2021","M04","April",12604,116613,0.10808400435629,2021-04-01,"Atlantic County, NJ",104009
"185","2021","M05","May",12180,118079,0.103151280075204,2021-05-01,"Atlantic County, NJ",105899
"186","2021","M06","June",13587,121877,0.111481247487221,2021-06-01,"Atlantic County, NJ",108290
"187","2021","M07","July",12943,121132,0.106850378099924,2021-07-01,"Atlantic County, NJ",108189
"188","2021","M08","August",11705,119351,0.0980720731288385,2021-08-01,"Atlantic County, NJ",107646
"189","2021","M09","September",10612,117272,0.0904904836619142,2021-09-01,"Atlantic County, NJ",106660
"190","2021","M10","October",9338,118505,0.0787983629382727,2021-10-01,"Atlantic County, NJ",109167
"191","2021","M11","November",8934,118091,0.075653521436858,2021-11-01,"Atlantic County, NJ",109157
"192","2021","M12","December",8748,118767,0.0736568238652151,2021-12-01,"Atlantic County, NJ",110019
"193","2020","M01","January",15293,597614,0.0255900966175491,2020-01-01,"Austin, TX",582321
"194","2020","M02","February",14821,602804,0.0245867645204743,2020-02-01,"Austin, TX",587983
"195","2020","M03","March",21278,587138,0.0362402024736944,2020-03-01,"Austin, TX",565860
"196","2020","M04","April",67960,558373,0.121710756071658,2020-04-01,"Austin, TX",490413
"197","2020","M05","May",60666,566371,0.107113535120972,2020-05-01,"Austin, TX",505705
"198","2020","M06","June",52327,590511,0.0886130825674712,2020-06-01,"Austin, TX",538184
"199","2020","M07","July",47536,590920,0.0804440533405537,2020-07-01,"Austin, TX",543384
"200","2020","M08","August",33643,596770,0.0563751529064799,2020-08-01,"Austin, TX",563127
"201","2020","M09","September",37119,591486,0.0627555005528449,2020-09-01,"Austin, TX",554367
"202","2020","M10","October",30929,600801,0.0514796080565778,2020-10-01,"Austin, TX",569872
"203","2020","M11","November",29883,593896,0.0503168904993467,2020-11-01,"Austin, TX",564013
"204","2020","M12","December",28378,598704,0.0473990486116679,2020-12-01,"Austin, TX",570326
"205","2021","M01","January",30742,594586,0.0517032018917364,2021-01-01,"Austin, TX",563844
"206","2021","M02","February",32197,596715,0.0539570816889135,2021-02-01,"Austin, TX",564518
"207","2021","M03","March",30607,599704,0.0510368448434561,2021-03-01,"Austin, TX",569097
"208","2021","M04","April",26604,601191,0.044252159463465,2021-04-01,"Austin, TX",574587
"209","2021","M05","May",24595,601957,0.0408584001847308,2021-05-01,"Austin, TX",577362
"210","2021","M06","June",27028,603462,0.0447882385303466,2021-06-01,"Austin, TX",576434
"211","2021","M07","July",23984,610233,0.039303020321746,2021-07-01,"Austin, TX",586249
"212","2021","M08","August",21431,612577,0.0349849896421185,2021-08-01,"Austin, TX",591146
"213","2021","M09","September",20253,617667,0.0327895127957297,2021-09-01,"Austin, TX",597414
"214","2021","M10","October",19778,625389,0.0316251165274733,2021-10-01,"Austin, TX",605611
"215","2021","M11","November",18985,630976,0.0300883076376914,2021-11-01,"Austin, TX",611991
"216","2021","M12","December",17134,629228,0.0272301931891143,2021-12-01,"Austin, TX",612094
"217","2020","M01","January",10394,178446,0.0582473129125898,2020-01-01,"Bakersfield, CA",168052
"218","2020","M02","February",9687,175706,0.0551318680067841,2020-02-01,"Bakersfield, CA",166019
"219","2020","M03","March",11202,172323,0.0650058320711687,2020-03-01,"Bakersfield, CA",161121
"220","2020","M04","April",29290,172162,0.170130458521625,2020-04-01,"Bakersfield, CA",142872
"221","2020","M05","May",28321,177493,0.159561222132704,2020-05-01,"Bakersfield, CA",149172
"222","2020","M06","June",26465,177902,0.148761677777653,2020-06-01,"Bakersfield, CA",151437
"223","2020","M07","July",26628,177546,0.149978033861647,2020-07-01,"Bakersfield, CA",150918
"224","2020","M08","August",24040,181278,0.132613996182659,2020-08-01,"Bakersfield, CA",157238
"225","2020","M09","September",21858,179946,0.121469774265613,2020-09-01,"Bakersfield, CA",158088
"226","2020","M10","October",18570,181440,0.102347883597884,2020-10-01,"Bakersfield, CA",162870
"227","2020","M11","November",14799,176623,0.0837886345492943,2020-11-01,"Bakersfield, CA",161824
"228","2020","M12","December",16647,175333,0.0949450474240445,2020-12-01,"Bakersfield, CA",158686
"229","2021","M01","January",15644,174457,0.0896725267544438,2021-01-01,"Bakersfield, CA",158813
"230","2021","M02","February",14396,173097,0.0831672414888762,2021-02-01,"Bakersfield, CA",158701
"231","2021","M03","March",13300,166801,0.0797357329992026,2021-03-01,"Bakersfield, CA",153501
"232","2021","M04","April",13128,169478,0.0774613814182372,2021-04-01,"Bakersfield, CA",156350
"233","2021","M05","May",12769,172493,0.0740261923672265,2021-05-01,"Bakersfield, CA",159724
"234","2021","M06","June",14847,174646,0.0850119670648054,2021-06-01,"Bakersfield, CA",159799
"235","2021","M07","July",15844,173856,0.091132891588441,2021-07-01,"Bakersfield, CA",158012
"236","2021","M08","August",15670,178572,0.0877517191944986,2021-08-01,"Bakersfield, CA",162902
"237","2021","M09","September",13535,179001,0.07561410271451,2021-09-01,"Bakersfield, CA",165466
"238","2021","M10","October",12730,180346,0.0705865392079669,2021-10-01,"Bakersfield, CA",167616
"239","2021","M11","November",10675,179222,0.0595630000781154,2021-11-01,"Bakersfield, CA",168547
"240","2021","M12","December",9593,173279,0.0553615844966788,2021-12-01,"Bakersfield, CA",163686
"241","2020","M01","January",17049,460301,0.0370388072152787,2020-01-01,"Baltimore County, MD",443252
"242","2020","M02","February",16261,461063,0.0352684990988216,2020-02-01,"Baltimore County, MD",444802
"243","2020","M03","March",18267,460678,0.0396524253383057,2020-03-01,"Baltimore County, MD",442411
"244","2020","M04","April",40729,436234,0.0933650288606574,2020-04-01,"Baltimore County, MD",395505
"245","2020","M05","May",42289,440009,0.0961093977623185,2020-05-01,"Baltimore County, MD",397720
"246","2020","M06","June",39676,458499,0.0865345398790401,2020-06-01,"Baltimore County, MD",418823
"247","2020","M07","July",39608,447297,0.0885496661055183,2020-07-01,"Baltimore County, MD",407689
"248","2020","M08","August",37879,444636,0.0851910326649214,2020-08-01,"Baltimore County, MD",406757
"249","2020","M09","September",29076,421912,0.0689148448017596,2020-09-01,"Baltimore County, MD",392836
"250","2020","M10","October",27766,437909,0.0634058674290777,2020-10-01,"Baltimore County, MD",410143
"251","2020","M11","November",27984,440391,0.0635435329059858,2020-11-01,"Baltimore County, MD",412407
"252","2020","M12","December",28597,439408,0.0650807450023668,2020-12-01,"Baltimore County, MD",410811
"253","2021","M01","January",27676,434586,0.0636835977228903,2021-01-01,"Baltimore County, MD",406910
"254","2021","M02","February",26558,434453,0.0611297424577572,2021-02-01,"Baltimore County, MD",407895
"255","2021","M03","March",26503,438325,0.0604642673815092,2021-03-01,"Baltimore County, MD",411822
"256","2021","M04","April",25543,438860,0.058203071594586,2021-04-01,"Baltimore County, MD",413317
"257","2021","M05","May",25540,439312,0.0581363586699202,2021-05-01,"Baltimore County, MD",413772
"258","2021","M06","June",29175,445771,0.0654484028795054,2021-06-01,"Baltimore County, MD",416596
"259","2021","M07","July",24679,448490,0.0550268679346251,2021-07-01,"Baltimore County, MD",423811
"260","2021","M08","August",24411,443101,0.0550912771580294,2021-08-01,"Baltimore County, MD",418690
"261","2021","M09","September",23030,439222,0.0524336212666943,2021-09-01,"Baltimore County, MD",416192
"262","2021","M10","October",21740,440405,0.0493636539094697,2021-10-01,"Baltimore County, MD",418665
"263","2021","M11","November",19457,440829,0.0441372958675586,2021-11-01,"Baltimore County, MD",421372
"264","2021","M12","December",17304,439500,0.0393720136518771,2021-12-01,"Baltimore County, MD",422196
"265","2020","M01","January",30835,948459,0.032510630401525,2020-01-01,"Bexar County, TX",917624
"266","2020","M02","February",29693,954412,0.0311113020372753,2020-02-01,"Bexar County, TX",924719
"267","2020","M03","March",41979,931622,0.0450601209503425,2020-03-01,"Bexar County, TX",889643
"268","2020","M04","April",123136,894774,0.137616873087506,2020-04-01,"Bexar County, TX",771638
"269","2020","M05","May",112797,910375,0.123901688864479,2020-05-01,"Bexar County, TX",797578
"270","2020","M06","June",98196,948422,0.103536189586492,2020-06-01,"Bexar County, TX",850226
"271","2020","M07","July",91995,945119,0.0973369491037637,2020-07-01,"Bexar County, TX",853124
"272","2020","M08","August",65351,952559,0.0686057241598683,2020-08-01,"Bexar County, TX",887208
"273","2020","M09","September",73675,947504,0.0777569276752394,2020-09-01,"Bexar County, TX",873829
"274","2020","M10","October",63565,962833,0.0660187176800131,2020-10-01,"Bexar County, TX",899268
"275","2020","M11","November",62514,951322,0.0657127660245427,2020-11-01,"Bexar County, TX",888808
"276","2020","M12","December",59587,958124,0.0621913238787464,2020-12-01,"Bexar County, TX",898537
"277","2021","M01","January",64538,949485,0.0679715845958599,2021-01-01,"Bexar County, TX",884947
"278","2021","M02","February",66888,953371,0.0701594657274031,2021-02-01,"Bexar County, TX",886483
"279","2021","M03","March",64010,956420,0.0669266640179001,2021-03-01,"Bexar County, TX",892410
"280","2021","M04","April",56120,958490,0.058550428277812,2021-04-01,"Bexar County, TX",902370
"281","2021","M05","May",52099,955553,0.0545223551179265,2021-05-01,"Bexar County, TX",903454
"282","2021","M06","June",59101,965742,0.0611975040952967,2021-06-01,"Bexar County, TX",906641
"283","2021","M07","July",53263,964432,0.0552273255138776,2021-07-01,"Bexar County, TX",911169
"284","2021","M08","August",47765,959136,0.0498000283588563,2021-08-01,"Bexar County, TX",911371
"285","2021","M09","September",44568,970156,0.0459390036241594,2021-09-01,"Bexar County, TX",925588
"286","2021","M10","October",43009,974683,0.0441261415249881,2021-10-01,"Bexar County, TX",931674
"287","2021","M11","November",40865,980060,0.0416964267493827,2021-11-01,"Bexar County, TX",939195
"288","2021","M12","December",37212,974359,0.0381912621528615,2021-12-01,"Bexar County, TX",937147
"289","2020","M01","January",10926,393639,0.0277563960888022,2020-01-01,"Boston, MA",382713
"290","2020","M02","February",9751,394314,0.0247290230628382,2020-02-01,"Boston, MA",384563
"291","2020","M03","March",10321,389586,0.0264922250799567,2020-03-01,"Boston, MA",379265
"292","2020","M04","April",52908,353935,0.149485074943139,2020-04-01,"Boston, MA",301027
"293","2020","M05","May",58714,377934,0.155355167833537,2020-05-01,"Boston, MA",319220
"294","2020","M06","June",63479,394730,0.160816254148405,2020-06-01,"Boston, MA",331251
"295","2020","M07","July",43839,382681,0.114557555770995,2020-07-01,"Boston, MA",338842
"296","2020","M08","August",41056,388421,0.105699743319748,2020-08-01,"Boston, MA",347365
"297","2020","M09","September",39719,385511,0.103029485539972,2020-09-01,"Boston, MA",345792
"298","2020","M10","October",34890,388091,0.0899015952444143,2020-10-01,"Boston, MA",353201
"299","2020","M11","November",31538,388428,0.0811939407045836,2020-11-01,"Boston, MA",356890
"300","2020","M12","December",29328,387348,0.0757148610551752,2020-12-01,"Boston, MA",358020
